,full_name_1,full_name_2,broken_name,gender
1067,Ιλαρία,Ιλαρία,Ι-λα-ρία,Female
1068,Ιλαρίων,Ιλαρίων,Ι-λα-ρί-ων,Male
1069,Ιλαρίωνας,Ιλαρίωνα,Ι-λα-ρί-ω-νας,Male
1070,Ιλαριάδα,Ιλαριάδα,Ι-λα-ριά-δα,Female
1071,Ιλιάνα,Ιλιάνα,Ι-λιά-να,Female
1072,Ιλιάς,Ιλιάς,Ι-λιάς,Male
1073,Ιλλυρία,Ιλλυρία,Ιλ-λυ-ρία,Female
1074,Ιλλύριος,Ιλλύριε,Ιλ-λύ-ρι-ος,Male
1075,Ινώ,Ινώ,Ι-νώ,Female
1076,Ιοκάστη,Ιοκάστη,Ι-ο-κά-στη,Female
1077,Ιορδάνα,Ιορδάνα,Ι-ορ-δά-να,Female
1078,Ιορδάνης,Ιορδάνη,Ι-ορ-δά-νης,Male
1079,Ιουβενάλης,Ιουβενάλη,Ι-ου-βε-νά-λης,Male
